Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
Sulfonylureas as Initial Treatment for Type 2 Diabetes and the Risk of Severe Hypoglycemia,Done,12/10/2017,10.1016/j.amjmed.2017.09.044,Yes,Canada,"Public,Private",Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,Per-protocol,1,severe hypoglycemia,Time to event,1,1,Diabetology,sulfonylurea,Pharmacological,A10BB,Active comparator,metformin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,365,"Outpatient prescriptions,Outpatient procedures (including tests),Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Administrative data",administrative information / disease history,,,,,,,,Schneeweiss citation,Schneeweiss citation,39,500,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,17612,77138,Yes,Yes,14012,14012,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 4.53,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Sulfonylureas as second line drugs in type 2 diabetes and the  risk of cardiovascular and hypoglycaemic events: population  based cohort study,Done,11/6/2018,10.1136/bmj.k2693,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD + HES + ONS,CPRD (+HES),Both linked,UK,Safety,Per-protocol,5,hospital admission for myocardial infarction / cardiovascular death / all-cause mortality / severe hypoglycaemia,Time to event,1,1,Diabetology,sulfonylurea,Pharmacological,A10BB,Active comparator,metformin,Prevalent new user,Not reported,Not reported,hdPS,No,Primary analysis,7,365,"Outpatient prescriptions,Procedures (all),Outpatient diagnoses,Diagnoses (all),Inpatient diagnoses,Administrative data",administrative / disease history,"Read Codes,ICD-10",Other,Other,,,,,Schneeweiss citation,Bross formula,,500,No,Logistic regression,,Yes,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,25699,51439,Yes,Yes,23551,23551,No,Standardized Difference,,,Not reported,"Specify total number of covariates included,Specify software,Specify data dimensions,Specify covariate priorisation method",Yes,Negative controls,,Not reported,Not reported,Not reported,"SAS,R",Starting and adhering (PP),HR 1.26,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
The association of beta-blocker use with mortality in elderly patients with congestive heart failure and advanced chronic kidney disease,Done,8/9/2019,10.1093/ndt/gfz167,Yes,Canada,Public,Not reported,,Mentioned but not available,1,ICES,Ontario health databases,PCD,Canada,Both,"Per-protocol,ITT",1,all-cause mortality,Time to event,1,1,Cardiology,beta-blocker,Pharmacological,C07A,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Bross formula,,,No,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,No,Cox regression,7706,20071,Yes,Yes,5862,5862,No,Standardized Difference,,,Not reported,"Specify covariate priorisation method,Specify software",No,,,RECORD,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.58,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
The Combination of DPP-4 Inhibitors Versus Sulfonylureas with Metformin After Failure of First-line Treatment in the Risk for Major Cardiovascular Events and Death,Done,1/4/2015,10.1016/j.jcjd.2015.02.002,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Both,Per-protocol,1,"Composite MI, stroke, all-cause mortality",Time to event,1,1,Diabetology,DPP4i + metformin,Pharmacological,A10B,Active comparator,Sulfonylurea + metformin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Drugs (all),Procedures (all),Diagnoses (all),Administrative data",prescriptions / procedures / diagnoses / disease history / administrative information,"ICD-10,Read Codes",Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,9,200,Yes,Schneeweiss citation,,Not reported,Stratification,,No additional variables used with/before/after hdPS,No,Cox regression,2299,10341,Yes,Yes,2286,9521,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.62,Serious,Moderate,Low,Serious,NI,Low,NI,Serious
The Potential of High-Dimensional Propensity Scores in Health Services Research: An Exemplary Study on the Quality of Care for Elective Percutaneous Coronary Interventions,Done,16/1/2017,10.1111/1475-6773.12653,Yes,Germany,Public,Not reported,,Not reported,1,GePaRD,GePaRD,PCD,Germany,Both,ITT,1,Mortality,Time to event,1,1,General Surgery,Inpatient PCI,Not-pharmacological,,Active comparator,Outpatient PCI,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Outpatient prescriptions",,ICD-10,Other,"ATC,Other",3 digit ICD,,Yes,200,"""Once, sporadic, frequent""",Bross formula,40,500,No,Logistic regression,,Yes,Weighting,Matching,No additional variables used with/before/after hdPS,No,Cox regression,4269,26044,Yes,Yes,3964,7668,Yes,Standardized Difference,Different total number of covariates,Sequential addition of variables plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.95,Moderate,Moderate,Low,Low,NI,Low,NI,Moderate
The risk of fragility fractures in new users of dipeptidyl peptidase-4 inhibitors compared to sulfonylureas and other anti-diabetic drugs: A cohort study,Done,16/12/2017,10.1016/j.diabres.2017.12.008,Unclear,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,Per-protocol,1,time to the first diagnosis of fragi- lity fracture,Time to event,1,3,Diabetology,DPP-4 inhibitors,Pharmacological,A10BH,Active comparator,sulfonylureas,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,26,40,No,Schneeweiss citation,,Yes,Adjustment on deciles (stratification),Matching,,No,Cox regression,7998,27486,Yes,Yes,7993,26636,Yes,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,R,Starting and adhering (PP),HR 0.80,Moderate,Low,Low,Serious,NI,Low,NI,Serious
The risk of sudden cardiac arrest and ventricular arrhythmia with rosiglitazone versus pioglitazone: real-world evidence on thiazolidinedione safety,Done,25/2/2020,10.1186/s12933-020-00999-5,Yes,USA,Public,Not reported,,Mentioned but not available,2,Medicaid / Optum,"Medicaid or Medicare,Optum Clinformatics",PCD,USA,Safety,Per-protocol,1,incident outpatient-originating SCA/VA,Time to event,1,,Diabetology,rosiglitazone,Pharmacological,A10BG02,Active comparator,pioglitazone,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,10,365,"Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Outpatient drug dispensation,Lab records (all)",,"ICD-10,ICD-9","CPT,Other",Generic drug names,"3 digit ICD,5 digit CPT,Generic drug name,Other",,Yes,200,Schneeweiss citation,Bross formula,60,500,No,Logistic regression,,Not reported,Matching,,No additional variables used with/before/after hdPS,Yes,Cox regression,205767,297324,Yes,No,189799,189799,Yes,Standardized Difference,Different total number of covariates,PS distribution plots,Yes,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,On demand,SAS,Assignment (ITT),HR 0.91,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Tofacitinib Persistence in Patients with Rheumatoid Arthritis:  A Retrospective Cohort Study,Done,16/4/2020,10.3899/jrheum.191252,Yes,Canada,Public,Not reported,,Not reported,1,IBM MarketScan,Truven Marketscan,PCD,USA,Efficacy,"ITT,Per-protocol",1,Discontinuation or swich,Time to event,1,1,Rheumatology,Tofacitinib,Pharmacological,L04AA29,Active comparator,bDMARD,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,No,Schneeweiss citation,,Yes,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Cox regression,1031,17803,Yes,No,,,Yes,Not reported,,,Not reported,Specify data dimensions,No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 1.14,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Tramadol Use and the Risk of Hospitalization for Hypoglycemia in Patients With Noncancer Pain,Done,1/2/2015,10.1001/jamainternmed.2014.6512,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Safety,ITT,1,hospitalization for hypoglycemia,Time to event,1,1,Pain medicine,Tramadol,Pharmacological,N02AX02,Active comparator,Codeine,Other,Not reported,Not reported,hdPS,No,Secondary analysis,7,365,"Outpatient prescriptions,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses,Administrative data",disease history / administrative information ,"ICD-10,Not reported",Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,41,500,No,Logistic regression,,Not reported,Adjustment on deciles (stratification),,No additional variables used with/before/after hdPS,No,Cox regression,28110,305924,Yes,Yes,28109,305862,Yes,C-statistic,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,,Nested Case-Control Approach / Case-Crossover Approach,Not reported,Not reported,Not reported,SAS,Assignment (ITT),hospitalization for hypoglycemia HR 3.60,Moderate,Low,Low,Low,Low,Low,NI,Moderate
Tramadol versus codeine and the short-term risk of cardiovascular events in patients with non-cancer pain: A population-based cohort study,Done,13/9/2021,10.1111/bcp.15099,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,ITT,1,hospitalization or death due to myocardial infarction,Time to event,1,1,General Practice,Tramadol,Pharmacological,N02AX02,Active comparator,Codeine,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,49,500,No,Schneeweiss citation,,Yes,Adjustment on deciles (stratification),Matching,,No,Cox regression,123394,914333,Yes,No,123390,913966,No,Standardized Difference,,,Not reported,Specify total number of covariates included,No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 1.00,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Trends in the Use and Outcomes of Implantable Cardioverter-Defibrillators in Patients Undergoing Dialysis in the United States,Done,13/6/2011,10.1053/j.ajkd.2011.03.026,Yes,USA,Public,Not reported,,Not reported,1,US Renal Data System,Other,EMR / Registry,USA,Efficacy,ITT,4,All cause mortality,Time to event,1,1,Nephrology,ICD implantation,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,33,,Unclear,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,9528,,Yes,No,2232,8928,No,Not reported,,,Not reported,Specify software,No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR ??,Moderate,Serious,Low,Serious,NI,Low,NI,Serious
Use of antidepressants near delivery and risk of postpartum hemorrhage: cohort study of low income women in the United States,Done,21/8/2013,10.1136/bmj.f4877,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,ITT,1,postpartum hemorrhage,Binary,6,1,Psychiatry,currently exposed to SRI monotherapy,Pharmacological,N06AB ,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,Unclear,,Not reported,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,19,200,Unclear,Schneeweiss citation,,Yes,Adjustment,,No additional variables used with/before/after hdPS,No,Poisson regression,29222,69044,Yes,No,12203,53348,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.52,Moderate,Serious,Low,Serious,NI,Low,NI,Serious
"Use of high potency statins and rates of admission for acute kidney injury: multicenter, retrospective observational analysis of administrative databases",Done,20/3/2013,10.1136/bmj.f880,Yes,Canada,Public,Not reported,,Not reported,9,Alberta / British Columbia / Manitoba / Nova Scotia / Ontario / Quebec / Saskatchewa / MarketScan / CPRD,"CNODES network databases,Truven Marketscan,CPRD (+HES)","PCD,EMR / Registry",Canada / USA / UK,Safety,Per-protocol,1,"hospitalization for acute kidney injury,",Time to event,1,1,Cardiology,High potency statins,Pharmacological,C10AA,Active comparator,Low potency statins,Other,Not reported,Not reported,hdPS,No,Primary analysis,,365,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,10,500,No,Logistic regression,,Not reported,Adjustment on deciles (stratification),,"To adjust with hdPS (stratas or not),To match before the hdPS",Unclear,Logistic regression,,,Unclear,No,,,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),0.97,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Use of Leukotriene Receptor Antagonists Are Associated with a  Similar Risk of Asthma Exacerbations as Inhaled Corticosteroids,Done,25/7/2014,10.1016/j.jaip.2014.05.009.,Yes,USA,Public,Not reported,,Not reported,2,PEAL Network / TennCare Medicad,"Medicaid or Medicare,Other US commercial","PCD,Both linked",USA,Efficacy,Per-protocol,4,asthma-related ED visit / hospitalization / fill of oral corticosteroids / composite,Time to event,2,1,Pulmonary Medicine,leukotriene antagonists,Pharmacological,R03DC,Active comparator,ICS,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,7,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient procedures (including tests),Inpatient diagnoses,Outpatient procedures (including tests),Other",Emergency department procedure / diagnoses,,,,,,,,Schneeweiss citation,Schneeweiss citation,7,,No,Logistic regression,,Not reported,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,5867,4022,No,No,,,No,Not reported,,,Not reported,"Specify data dimensions,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.10,Moderate,Low,Low,Serious,NI,Low,NI,Serious
